Mouse gene name	Gene name
Gm22087	RNU6-1271P
Tigar	TIGAR
Alpi	ALPG
Akp3	ALPG
Alppl2	ALPG
Gm24629	Y_RNA
Fgf23	FGF23
Gm23792	RNU6-847P
Prpf4b	PRPF4B
Ccnd2	CCND2
Alpi	ALPI
Akp3	ALPI
Alppl2	ALPI
Bglap2	BGLAP
Bglap3	BGLAP
Bglap	BGLAP
Ggt6	GGT6
Smg5	SMG5
Gdf11	GDF11
Dusp8	DUSP8
Sarnp	SARNP
Cnnm1	CNNM1
Cog5	COG5
Ecel1	ECEL1
Smtnl2	SMTNL2
Gm29735	KRTAP5-2
Gm4553	KRTAP5-2
Krtap5-4	KRTAP5-2
Krtap5-5	KRTAP5-2
Wwtr1	WWTR1
Gm45337	KRTAP5-6
Gm39115	KRTAP5-6
Gm7579	KRTAP5-6
Ifitm10	IFITM10
Gm25023	RNU6-955P
Alox15	ALOX15
Fam217a	FAM217A
Got1	GOT1
Tmem79	TMEM79
Cby3	CBY3
Homer3	HOMER3
Ctsd	CTSD
Ormdl2	ORMDL2
Afap1l2	AFAP1L2
Lrig1	LRIG1
Canx	CANX
Eci3	ECI2
Eci2	ECI2
Pelp1	PELP1
Cct3	CCT3
Mmp19	MMP19
Arhgap11a	ARHGAP11A
Prss56	PRSS56
Abcb8	ABCB8
Chrnd	CHRND
Arrb2	ARRB2
Dgka	DGKA
Optn	OPTN
Tgfb1	TGFB1
Chrng	CHRNG
Prkcsh	PRKCSH
Bmerb1	BMERB1
Zic4	ZIC4
Gm23056	RNU6-1132P
Mrpl11	MRPL11
Vps54	VPS54
Grem1	GREM1
Myh11	MYH11
Golga2	GOLGA8H
Slc24a5	SLC24A5
Bbs1	BBS1
Rnaset2b	RNASET2
Rnaset2a	RNASET2
Thpo	THPO
Peli1	PELI1
Rhbg	RHBG
Ctxn2	CTXN2
Slc12a1	SLC12A1
Mcm10	MCM10
Rabgef1	RABGEF1
Tpgs1	TPGS1
Cdc34b	CDC34
Cdc34	CDC34
Nmd3	NMD3
Mir9-1	MIR9-1
Mex3a	MEX3A
Cyp4x1	CYP4X1
Gzmm	GZMM
Med11	MED11
Pdzk1ip1	PDZK1IP1
Diras1	DIRAS1
Zmynd15	ZMYND15
Slc39a3	SLC39A3
Gm56381	RN7SKP268
Foxe3	FOXE3
Zbtb2	ZBTB2
Vhl	VHLL
Lrrc52	LRRC52
Rmnd1	RMND1
Cpa5	CPA5
Igsf3	IGSF3
Mbnl3	MBNL3
Mzt2	MZT2A
Sgta	SGTA
Gm23217	RNU6-6P
Gm22798	RNU6-6P
Gm22170	RNU6-6P
Gm25583	RNU6-6P
Ucma	UCMA
Tm4sf5	TM4SF5
Arsi	ARSI
Phyh	PHYH
Armt1	ARMT1
Vmo1	VMO1
Tcof1	TCOF1
Ccdc170	CCDC170
Glul	GLUL
Gltpd2	GLTPD2
Dapl1	DAPL1
Psmb6	PSMB6
Arhgef3	ARHGEF3
Gm56227	RNU6-813P
Fam162b	FAM162B
Gprc6a	GPRC6A
Pld2	PLD2
Zdhhc24	ZDHHC24
Actn3	ACTN3
Zfp438	ZNF438
Rfx6	RFX6
Kctd7	KCTD7
Lpar5	LPAR5
Prepl	PREPL
Acrbp	ACRBP
Suv39h2	SUV39H2
Or2a7	OR2A4
Bhlha15	BHLHA15
Mia2	CTAGE9
Smurf1	SMURF1
Ccn2	CCN2
Ntmt2	NTMT2
Thop1	THOP1
Rnf146	RNF146
Was	WAS
Usp38	USP38
Elavl4	ELAVL4
Meig1	MEIG1
Fas	FAS
Slc39a13	SLC39A13
Crisp4	CRISP1
Ubap1l	UBAP1L
Ing4	ING4
Ccz1	CCZ1B
Mink1	MINK1
Ct45a	CT45A1
Chrna7	CHRFAM7A
Setd7	SETD7
Defb18	DEFB113
Defb41	DEFB110
Ct45a	CT45A5
Ptchd4	PTCHD4
Zkscan8	ZKSCAN8
Ace2	ACE2
Rapsn	RAPSN
Zfp78	ZNF554
Mgst2	MGST2
Golga2	GOLGA8F
Zfp78	ZNF555
Tbc1d25	TBC1D25
Cish	CISH
Mmd2	MMD2
Coa6	COA6
Ndufs3	NDUFS3
Rnf13	RNF13
Adgrb3	ADGRB3
Zfp78	ZNF556
Cort	CORT
Aimp1	AIMP1
Herc2	HERC2
Tfe3	TFE3
Ahctf1	AHCTF1
Keap1	KEAP1
Rtel1	RTEL1
Or5v1b	OR5V1
Or5v1	OR5V1
Or12d17	OR12D3
Cnr1	CNR1
H2-Oa	HLA-DOA
Hdac6	HDAC6
Gm50451	SNORD93
Snord93	SNORD93
Ptpmt1	PTPMT1
Ache	ACHE
Atg4d	ATG4D
Kbtbd4	KBTBD4
Pdk1	PDK1
Sdr9c7	SDR9C7
Gpr182	GPR182
C1qtnf4	C1QTNF4
Zbtb39	ZBTB39
Tac2	TAC3
Fnbp4	FNBP4
Cux1	CUX1
Taf2	TAF2
Kri1	KRI1
Rps14	RPS14
Nupr1	NUPR1
Rxrb	RXRB
Hemk1	HEMK1
Aasdh	AASDH
Sult5a1	SULT1A2
Pgm2l1	PGM2L1
Stpg3	STPG3
Frrs1	FRRS1
Tlnrd1	TLNRD1
Slc1a3	SLC1A3
Megf11	MEGF11
Lipt2	LIPT2
Sctr	SCTR
Kcne3	KCNE3
Sidt1	SIDT1
Lrrc7	LRRC7
Hsd17b8	HSD17B8
Chrne	CHRNE
Snapc3	SNAPC3
Tk2	TK2
Ring1	RING1
Ctsf	CTSF
4930544D05Rik	C17orf107
Ugt1a2	UGT1A4
Ugt1a5	UGT1A4
Naglu	NAGLU
Cdkn2d	CDKN2D
Vps52	VPS52
Ccdc14	CCDC14
Ap1m2	AP1M2
Hsd17b1	HSD17B1
Inafm2	INAFM2
Myo1a	MYO1A
Disp2	DISP2
Coasy	COASY
F13b	F13B
Slc40a1	SLC40A1
Bahd1	BAHD1
Nxnl2	NXNL2
Unc13b	UNC13B
Lepr	LEPR
Chst14	CHST14
Slc44a2	SLC44A2
Ivd	IVD
Psmc3ip	PSMC3IP
Exoc6b	EXOC6B
Il2ra	IL2RA
Cyb561d2	CYB561D2
Ppat	PPAT
BC016579	C3orf52
Rbm17	RBM17
Nemp1	NEMP1
Ube2w	UBE2W
Cdc23	CDC23
Rps18	RPS18
Myo5a	MYO5A
Camk1	CAMK1
Epgn	EPGN
Tmem127	TMEM127
Nab2	NAB2
Asxl1	ASXL1
Pfkfb3	PFKFB3
Psmd4	PSMD4
Qtrt1	QTRT1
Ing5	ING5
Retreg3	RETREG3
Cdc25c	CDC25C
B3galt4	B3GALT4
Wdr46	WDR46
Stat6	STAT6
Cfc1	CFC1
Jagn1	JAGN1
Mir199a-1	MIR199A1
Hadh	HADH
Tmed1	TMED1
Il17re	IL17RE
Gm56405	RN7SL605P
Gm56028	RN7SL605P
Gm54720	RN7SL605P
Gm27956	RN7SL605P
Gm56145	RN7SL605P
Gm55425	RN7SL605P
Gm56242	RN7SL605P
Gm25574	RN7SL605P
Gm55459	RN7SL605P
Tagln2	TAGLN2
Rtn4rl2	RTN4RL2
Tubg2	TUBG2
AB124611	C19orf38
Pfdn6	PFDN6
Upp2	UPP2
Plekhh3	PLEKHH3
Tle3	TLE3
Slc43a1	SLC43A1
Eloc	ELOC
Pea15a	PEA15
Pax3	PAX3
H6pd	H6PD
Rgl2	RGL2
Foxd2	FOXD2
Ddost	DDOST
Bpifa5	BPIFA1
Bpifa1	BPIFA1
Tmem70	TMEM70
Prg4	PRG4
Tk1	TK1
Fam53c	FAM53C
Timm10	TIMM10
Ube2l6	UBE2L6
Ly96	LY96
Steap1	STEAP1B
Gm22215	RNU6-1197P
Gm56147	RNU6-1197P
Egr1	EGR1
Ppp1r42	PPP1R42
Birc5	BIRC5
Cplane1	CPLANE1
Cxcl9	CXCL9
Vstm2l	VSTM2L
Kctd5	KCTD5
Ecm2	ECM2
Tmx2	TMX2
Gm56256	RN7SKP185
Tti1	TTI1
Gm54604	RNU6-392P
Cxcl10	CXCL10
Nampt	NAMPT
Amt	AMT
Rbm12b1	RBM12B
Rbm12b2	RBM12B
Pfkfb1	PFKFB1
Prss27	PRSS27
Zfp7	ZNF7
Lhx6	LHX6
Fam47e	FAM47E
Serping1	SERPING1
Rprd1b	RPRD1B
Zbtb22	ZBTB22
Smim40	SMIM40
Smim40-ps	SMIM40
2810459M11Rik	C2orf72
Or14j1	OR14J1
Slc22a7	SLC22A7
Htr2b	HTR2B
Prss21	PRSS21
Tgm2	TGM2
Gm24030	RNU1-93P
B3gnt7	B3GNT7
Gm55462	SNORD20
Snord82	SNORD82
Stbd1	STBD1
Gm22085	RNU6-1000P
Gm23744	RNU2-22P
Snord50a	
Gm23017	
Gm24463	
Snord50b	
Gm26135	
Nmur1	NMUR1
Pald1	PALD1
Guf1	GUF1
Mir490	MIR490
Chrm2	CHRM2
Cavin1	CAVIN1
Rnpepl1	RNPEPL1
Kcnh4	KCNH4
Fbxw11	FBXW11
Crip3	CRIP3
D630003M21Rik	KIAA1755
Bex4	BEX4
Bex6	BEX4
Gm24669	RNU6-1272P
Zc3hav1l	ZC3HAV1L
St3gal3	ST3GAL3
AU021092	C16orf89
Gnpda2	GNPDA2
Zc3hav1	ZC3HAV1
Hcrt	HCRT
Gm25881	RNU6-258P
Rab22a	RAB22A
Enpp1	ENPP1
Scn2b	SCN2B
Purg	PURG
Zfp207	ZNF207
Capn10	CAPN10
Mir302d	MIR302D
Mir302c	MIR302C
Alkal1	ALKAL1
Vapb	VAPB
Il5	IL5
Def8	DEF8
Or8g2	OR8G3P
Or8g2b	OR8G3P
Arsj	ARSJ
Htatip2	HTATIP2
Dok2	DOK2
Sh3tc1	SH3TC1
Fam114a2	FAM114A2
Kantr	KANTR
Ift56	IFT56
Tcp11x2	TCP11X1
Erp44	ERP44
Tcp11x2	TCP11X2
Xpo7	XPO7
Klhl13	KLHL13
Plaat5	PLAAT5
Sema4g	SEMA4G
Stx16	STX16
Kifc1	KIFC1
Kifc5b	KIFC1
Gsk3a	GSK3A
Ppp6r3	PPP6R3
Ppp1r26	PPP1R26
Phf1	PHF1
Pierce1	PIERCE1
Tdgf1	TDGF1P3
Gata1	GATA1
Lcn4	LCN1
Trpc5os	TRPC5OS
Dmp1	DMP1
Obp2a	OBP2A
Obp2b	OBP2A
Aqp12	AQP12B
Ogt	OGT
Cyp17a1	CYP17A1
Spp1	SPP1
Agxt	AGXT
Mfap3	MFAP3
Nup214	NUP214
Zfp574	ZNF574
Hdac7	HDAC7
Dedd2	DEDD2
Rps6ka6	RPS6KA6
9130401M01Rik	C8orf76
Irf1	IRF1
Cuta	CUTA
Ubn2	UBN2
Borcs7	BORCS7
Mab21l4	MAB21L4
Gipr	GIPR
As3mt	AS3MT
Zhx1	ZHX1
Fezf1	FEZF1
Bsn	BSN
Wnt10a	WNT10A
Pank2	PANK2
Sh3kbp1	SH3KBP1
Fam83a	FAM83A
Nt5c2	NT5C2
Aass	AASS
Gzmc	GZMB
Gzmb	GZMB
Cdk5r2	CDK5R2
Apeh	APEH
Dhrs7c	DHRS7C
Fev	FEV
Unc5b	UNC5B
Wfs1	WFS1
Cryba2	CRYBA2
Taf1c	TAF1C
Mtus1	MTUS1
Cluh	CLUH
Syne2	SYNE2
Slc29a3	SLC29A3
Mir375	MIR375
Cfap65	CFAP65
Syngap1	SYNGAP1
Nfkb2	NFKB2
Slc35a4	SLC35A4
Ppp1r2	PPP1R2B
Qpctl	QPCTL
Sgcd	SGCD
Fbxo46	FBXO46
Aff1	AFF1
Sema6b	SEMA6B
Dimt1	DIMT1
Zbtb43	ZBTB43
Adh7	ADH7
Zfp560	ZNF121
Angptl2	ANGPTL2
Ihh	IHH
Mif4gd	MIF4GD
Kank2	KANK2
Slc23a3	SLC23A3
Rnf123	RNF123
Yipf7	YIPF7
1810010H24Rik	C17orf58
Prss57	PRSS57
Npffr2	NPFFR2
Gm56450	
Gm56451	
Ctnnbl1	CTNNBL1
Erbb2	ERBB2
Ldaf1	LDAF1
Niban3	NIBAN3
Sgpl1	SGPL1
Htt	HTT
Cnppd1	CNPPD1
Eef1d	EEF1D
Slk	SLK
Vdr	VDR
Amdhd2	AMDHD2
Prkrip1	PRKRIP1
Zbtb9	ZBTB9
Gm5617	C11orf71
Rbm7	RBM7
Efna5	EFNA5
Nup43	NUP43
Retreg2	RETREG2
Prrc1	PRRC1
Reln	RELN
Col17a1	COL17A1
Tmem106c	TMEM106C
Zfand2b	ZFAND2B
Bmal1	BMAL1
Lrp11	LRP11
Fbxl19	FBXL19
Syngr2	SYNGR2
Grxcr2	GRXCR2
Amigo3	AMIGO3
Cdk7	CDK7
Gmppb	GMPPB
Ffar2	FFAR2
Snx14	SNX14
Hsh2d	HSH2D
Asic2	ASIC2
Bcl7c	BCL7C
Col2a1	COL2A1
Exoc3l2	EXOC3L2
Rnf40	RNF40
Klhl5	KLHL5
Mlx	MLX
Prmt1	PRMT1
Abcb6	ABCB6
Foxd4	FOXD4L5
Stn1	STN1
Zng1	ZNG1E
Cidec	CIDEC
Lpcat4	LPCAT4
Rchy1	RCHY1
Ccdc125	CCDC125
Gas7	GAS7
Klhl18	KLHL18
Arnt2	ARNT2
Orc5	ORC5
Eif4a2	EIF4A2
Pdlim1	PDLIM1
Rad17	RAD17
Atg9a	ATG9A
Txndc11	TXNDC11
Opn1sw	OPN1SW
Vstm4	VSTM4
Mrm2	MRM2
Tmed2	TMED2
Nmral1	NMRAL1
Snx8	SNX8
Snrpa1	SNRPA1
Fam170b	FAM170B
Lrrc18	LRRC18
Cyp2c55	CYP2C18
Ucp2	UCP2
Pafah1b3	PAFAH1B3
Ddx55	DDX55
Pnliprp1	PNLIPRP1
Nphs1	NPHS1
Chst12	CHST12
Mad1l1	MAD1L1
Haghl	HAGHL
1110002E22Rik	C4orf54
Tecta	TECTA
Cyp1a1	CYP1A1
Tacc3	TACC3
Eif2b1	EIF2B1
Spata32	SPATA32
Map3k14	MAP3K14
Snx19	SNX19
Mcf2	MCF2
Cmtm1	CMTM1
Zfp146	ZNF146
Tgm5	TGM5
Prkd2	PRKD2
Gtf2h3	GTF2H3
Ocm	OCM
Snord2	SNORD2
Gm24201	SNORA63B
Gm22519	SNORA81
Snora81	SNORA81
Gm26447	SNORA63
Krt222	KRT222
Ccz1	CCZ1
Foxl2	FOXL2
Or4m1	OR4M2
Golga2	GOLGA6B
Prr23a2	PRR23A
Prr23a1	PRR23A
Prr23a4	PRR23A
Prr23a3	PRR23A
1700019N19Rik	SPMIP5
Prr23a2	PRR23B
Prr23a1	PRR23B
Prr23a4	PRR23B
Prr23a3	PRR23B
Prr23a2	PRR23C
Prr23a1	PRR23C
Prr23a4	PRR23C
Prr23a3	PRR23C
Gm55625	PISRT1
Gm55625	
Krt24	KRT24
Gm26449	U6
Rbp2	RBP2
Gm24927	RNU6-1266P
Dlg5	DLG5
Krt25	KRT25
Atp10a	ATP10A
Lrrc58	LRRC58
Ankzf1	ANKZF1
Krt27	KRT27
Cxcl13	CXCL13
Trim71	TRIM71
Fam168a	FAM168A
Krt28	KRT28
Triml2	TRIML2
Timp4	TIMP4
Krt10	KRT10
Mindy4	MINDY4
Gm23897	
Cdh3	CDH3
Krt12	KRT12
Krt20	KRT20
Gm26127	RNU6-377P
Gm56405	Metazoa_SRP
Gm56028	Metazoa_SRP
Gm54720	Metazoa_SRP
Gm27956	Metazoa_SRP
Gm56145	Metazoa_SRP
Gm55425	Metazoa_SRP
Gm56242	Metazoa_SRP
Gm25574	Metazoa_SRP
Gm55459	Metazoa_SRP
Aqp1	AQP1
Cabp4	CABP4
Krt23	KRT23
Pdcd10	PDCD10
Adgrl3	ADGRL3
Vegfb	VEGFB
Ghrhr	GHRHR
Cdh1	CDH1
Ms4a12	MS4A12
Knstrn	KNSTRN
Gh	GH1
Marveld2	MARVELD2
Glb1l	GLB1L
Ms4a13	MS4A13
Tdrd9	TDRD9
Polr3a	POLR3A
Grik2	GRIK2
Or7a42	OR7A5
Or7a40	OR7A5
Or7a38	OR7A5
Or7a36	OR7A5
Ntn5	NTN5
Atp6v0a2	ATP6V0A2
Eef2kmt	FAM86B2
Scn4a	SCN4A
Ms4a4d	MS4A4A
Ms4a4a	MS4A4A
Ms4a4b	MS4A4A
Ms4a4c	MS4A4A
Map4k1	MAP4K1
Osr2	OSR2
Gtf2h2	GTF2H2C
Kpna7	KPNA7
Ccar2	CCAR2
Prr29	PRR29
Dnah10	DNAH10
Nub1	NUB1
Cep170b	CEP170B
Mageb16	MAGEB16
Icam2	ICAM2
Tent5d	TENT5D
Stk16	STK16
Lysmd4	LYSMD4
Opn1mw	OPN1MW3
H2al1n	H2AL3
H2al1k	H2AL3
H2al2a	H2AL3
H2al1e	H2AL3
H2al1f	H2AL3
H2al1m	H2AL3
H2al1h	H2AL3
H2al1i	H2AL3
H2al1o	H2AL3
H2al1g	H2AL3
H2al1d	H2AL3
H2al1j	H2AL3
H2al2c	H2AL3
H2al1c	H2AL3
H2al2b	H2AL3
H2al1b	H2AL3
H2al1a	H2AL3
Mageb6b1	MAGEB6B
Mageb3	MAGEB6B
Mageb2	MAGEB6B
Mageb1	MAGEB6B
Mageb6b2	MAGEB6B
Nxf2	NXF2B
Nxf7	NXF2B
Gp2	GP2
Mctp2	MCTP2
Kat5	KAT5
Ern1	ERN1
Gtpbp6	GTPBP6
Gm22956	RNU4-72P
Hells	HELLS
Atxn1	ATXN1
Tex28	TEX28
Snord104	SNORD104
Gm22711	
Gm26047	
Gm22711	SNORA50C
Slc16a3	SLC16A3
Magix	MAGIX
Ptprn	PTPRN
Tas2r139	TAS2R39
Eif3k	EIF3K
Irak1	IRAK1
Tas2r144	TAS2R40
Mapk6	MAPK6
Hspb8	HSPB8
Gstk1	GSTK1
Serpini1	SERPINI1
Snrnp48	SNRNP48
Bysl	BYSL
Ppfibp1	PPFIBP1
Ppy	PPY
Ocln	OCLN
Stmn4	STMN4
Golga2	GOLGA8M
Plscr4	PLSCR4
Nags	NAGS
Ccnd3	CCND3
Umod	UMOD
Foxd4	FOXD4L4
Washc1	WASHC1
Shf	SHF
Brf1	BRF1
Tmem101	TMEM101
Card9	CARD9
Slc27a6	SLC27A6
Lsm12	LSM12
Rnaseh2c	RNASEH2C
Pdilt	PDILT
Tmem139	TMEM139
Gm25217	RNU6-131P
Hrob	HROB
Nr0b1	NR0B1
Isoc1	ISOC1
Nr2e3	NR2E3
Fancc	FANCC
Txlng	TXLNG
Capn12	CAPN12
Acsm5	ACSM5
Ap5b1	AP5B1
Zfp622	ZNF622
Asb16	ASB16
Ovol1	OVOL1
Casp2	CASP2
Rbbp7	RBBP7
Acsm2	ACSM2A
Cfl1	CFL1
Tmub2	TMUB2
Man2a1	MAN2A1
Gm22454	RNU6-761P
Ankrd66	ANKRD66
Hs3st5	HS3ST5
Crtc3	CRTC3
Lgals7	LGALS7B
Nfya	NFYA
Lgals4	LGALS4
Pmp2	PMP2
Lhx1	LHX1
H4c3	H4C8
Rnf39	RNF39
Fabp9	FABP9
Or2j3	OR2J1
Plscr1	PLSCR1
1700057G04Rik	PLSCR1
Plscr2	PLSCR1
Fabp4	FABP4
Or2h2b-ps1	OR2H1
Or2h2c	OR2H1
Or2h1b	OR2H1
Or2h1	OR2H1
Or2h2	OR2H1
Gm24812	RN7SL481P
Fam131b	FAM131B
Resp18	RESP18
Or2j3	OR2J2
Aatf	AATF
Snx32	SNX32
Gm26254	RNU4-6P
Reps2	REPS2
Impa1	IMPA1
Ecrg4	ECRG4
Ddr1	DDR1
Stc2	STC2
Eml2	EML2
Gcgr	GCGR
Mmp25	MMP25
Uxs1	UXS1
Or2v1	OR2V2
Apbb3	APBB3
Pdia3	PDIA3
Mus81	MUS81
Arid3c	ARID3C
4930451I11Rik	C16orf92
Nek6	NEK6
Zyx	ZYX
Gm25322	RNU6-103P
Setd6	SETD6
Pabir3	PABIR3
Sgms2	SGMS2
Mcrip1	MCRIP1
Bltp1	BLTP1
Nid2	NID2
Gm22883	RNU6-428P
Cnot1	CNOT1
Mir15b	MIR15B
Mir16-2	MIR16-2
Trim59	TRIM59
Ppp1r27	PPP1R27
Rep15	REP15
Epha1	EPHA1
Ccdc74a	CCDC74B
Mrps35	MRPS35
Mospd1	MOSPD1
Nutm2	NUTM2B
Kpna4	KPNA4
Arhgdia	ARHGDIA
Ctsw	CTSW
Tasor2	TASOR2
Gm55611	RNU6-616P
Gm26168	Y_RNA
Klhl42	KLHL42
Psmb7	PSMB7
Tceal8	TCEAL8
Pthlh	PTHLH
Pyroxd2	PYROXD2
Zfhx2	ZFHX2
Tceal3	TCEAL5
Tceal6	TCEAL5
Tceal5	TCEAL5
Bex2	BEX2
Bex1	BEX2
Tas2r135	TAS2R60
Tas2r126	TAS2R41
Jph4	JPH4
Mia2	CTAGE15
Nr5a1	NR5A1
Gm25494	RNU6-162P
Slc10a5	SLC10A5
Arhgap4	ARHGAP4
Tcaf2	TCAF2C
Zfand1	ZFAND1
Hps1	HPS1
Mzt2	MZT2B
Akap9	AKAP9
Cep290	CEP290
Ccdc88c	CCDC88C
Mtnr1b	MTNR1B
Swi5	SWI5
Slc36a4	SLC36A4
Arl14	ARL14
Chmp2b	CHMP2B
Dusp28	DUSP28
Wiz	WIZ
Dpy30	DPY30
Wnt5a	WNT5A
Golga2	GOLGA8G
Gmpr2	GMPR2
Gm4308	ALYREF
Gm4303	ALYREF
Gm5698	ALYREF
Alyref2	ALYREF
Gm4307	ALYREF
Gm21293	ALYREF
Gm6763	ALYREF
Gm21304	ALYREF
Gm21312	ALYREF
Gm20765	ALYREF
Gm4302	ALYREF
Gm8764	ALYREF
Gm4301	ALYREF
Gm4312	ALYREF
Alyref	ALYREF
Gm4305	ALYREF
Gm4340	ALYREF
4931428L18Rik	ALYREF
Gm6489	ALYREF
Slc30a6	SLC30A6
Fat3	FAT3
Cfap91	CFAP91
Gm25789	SNORD81
Gm25802	SNORD81
Pfkp	PFKP
Anapc11	ANAPC11
Hycc1	HYCC1
Tas2r119	TAS2R1
Plk5	PLK5
Dok3	DOK3
Mmp1a	MMP1
Mmp1b	MMP1
Isl2	ISL2
Gpr85	GPR85
Nudt1	NUDT1
Fbxo36	FBXO36
Otud7a	OTUD7A
Mpped2	MPPED2
Zfp609	ZNF609
Gm22573	RNU6-1027P
Slc16a14	SLC16A14
Fancg	FANCG
Pwwp3a	PWWP3A
Rps23	RPS23
Pate1	PATE1
Oaz2	OAZ2
Rrp9	RRP9
Slc19a3	SLC19A3
Vwf	VWF
Pate2	PATE2
Chmp4c	CHMP4C
Eif4h	EIF4H
Pate3	PATE3
Pate4	PATE4
Dcp2	DCP2
Naa10	NAA10
Prpf18	PRPF18
Gpr62	GPR62
Gins4	GINS4
Hyls1	HYLS1
Pus3	PUS3
Ccl20	CCL20
Otop1	OTOP1
Tmem128	TMEM128
Thsd4	THSD4
Elmo1	ELMO1
Ddx25	DDX25
Daw1	DAW1
Zbtb49	ZBTB49
Gpat4	GPAT4
Npb	NPB
Zfp608	ZNF608
Brd4	BRD4
Pcyt2	PCYT2
Gm54634	
Ficd	FICD
Gli2	GLI2
Stx18	STX18
Sart3	SART3
Pnlip	PNLIP
Mir190a	MIR190A
Golga7	GOLGA7
Ttc1	TTC1
Ifnab	IFNA17
Ifna9	IFNA17
Ifna2	IFNA17
Ifna13	IFNA17
Ifna5	IFNA17
Ifna14	IFNA17
Ifna7	IFNA17
Ifna1	IFNA17
Ifna15	IFNA17
Ifna11	IFNA17
Ifna16	IFNA17
Ifna4	IFNA17
Ifna6	IFNA17
Ifna12	IFNA17
Tln2	TLN2
Ifnab	IFNA14
Ifna9	IFNA14
Ifna2	IFNA14
Ifna13	IFNA14
Ifna5	IFNA14
Ifna14	IFNA14
Ifna7	IFNA14
Ifna1	IFNA14
Ifna15	IFNA14
Ifna11	IFNA14
Ifna16	IFNA14
Ifna4	IFNA14
Ifna6	IFNA14
Ifna12	IFNA14
Acy1	ACY1
Ifnab	IFNA5
Ifna9	IFNA5
Ifna2	IFNA5
Ifna13	IFNA5
Ifna5	IFNA5
Ifna14	IFNA5
Ifna7	IFNA5
Ifna1	IFNA5
Ifna15	IFNA5
Ifna11	IFNA5
Ifna16	IFNA5
Ifna4	IFNA5
Ifna6	IFNA5
Ifna12	IFNA5
Klhl9	KLHL9
Ifnab	IFNA2
Ifna9	IFNA2
Ifna2	IFNA2
Ifna13	IFNA2
Ifna5	IFNA2
Ifna14	IFNA2
Ifna7	IFNA2
Ifna1	IFNA2
Ifna15	IFNA2
Ifna11	IFNA2
Ifna16	IFNA2
Ifna4	IFNA2
Ifna6	IFNA2
Ifna12	IFNA2
Rpgr	RPGR
Ifnab	IFNA8
Ifna9	IFNA8
Ifna2	IFNA8
Ifna13	IFNA8
Ifna5	IFNA8
Ifna14	IFNA8
Ifna7	IFNA8
Ifna1	IFNA8
Ifna15	IFNA8
Ifna11	IFNA8
Ifna16	IFNA8
Ifna4	IFNA8
Ifna6	IFNA8
Ifna12	IFNA8
Pnliprp2	PNLIPRP2
Ifnab	IFNA1
Ifna9	IFNA1
Ifna2	IFNA1
Ifna13	IFNA1
Ifna5	IFNA1
Ifna14	IFNA1
Ifna7	IFNA1
Ifna1	IFNA1
Ifna15	IFNA1
Ifna11	IFNA1
Ifna16	IFNA1
Ifna4	IFNA1
Ifna6	IFNA1
Ifna12	IFNA1
Mir31	MIR31
Sp100	SP140
Gm26493	SNORA46
Ifne	IFNE
Gm26265	SNORA50A
Gm26265	SNORA50A
Slc38a7	SLC38A7
Tspan14	TSPAN14
Nsg1	NSG1
Rpusd4	RPUSD4
Cldn13	CLDN4
Adamts19	ADAMTS19
Or9a4	OR9A4
Or2f1b	OR2F1
Or2f2	OR2F1
Or2f1	OR2F1
Lrrd1	LRRD1
Atxn7l1	ATXN7L1
Gm56327	RNU4-86P
Wee1	WEE1
Plk2	PLK2
Gm22489	
Gm56367	
Got2	GOT2
Kit	KIT
Sfxn3	SFXN3
Scg5	SCG5
Tmem109	TMEM109
Napepld	NAPEPLD
Tmem132a	TMEM132A
Scart1	SCART1
Ier2	IER2
Gm22305	RNU6-1155P
Rbl2	RBL2
Npy4r	NPY4R2
Npm3	NPM3
Cd6	CD6
Ints14	INTS14
Lancl2	LANCL2
Cacna1a	CACNA1A
Nkx2-3	NKX2-3
Rpgrip1l	RPGRIP1L
Entpd7	ENTPD7
Man2b2	MAN2B2
Gin1	GIN1
Tmem119	TMEM119
Cutc	CUTC
Kmt2c	KMT2C
Emp1	EMP1
Cox15	COX15
Mecp2	MECP2
Or2v1	OR2V1
Ccdc180	CCDC180
Ccdc6	CCDC6
Cert1	CERT1
Gm23423	RNU6-590P
Cdh24	CDH24
Eif4b	EIF4B
Cdk1	CDK1
Arhgap39	ARHGAP39
Rtf1	RTF1
Gm56475	
Gm56477	
Dytn	DYTN
Gm54929	MIR1302-8
Mbip	MBIP
Lpin1	LPIN1
Sirt7	SIRT7
Mesp1	MESP1
Dmtn	DMTN
Sema4b	SEMA4B
Mrfap1	MRFAP1L1
Bloc1s4	BLOC1S4
D5Ertd579e	KIAA0232
Gm24666	RNU2-72P
Slc15a3	SLC15A3
Slc25a28	SLC25A28
Gm1673	C4orf48
Nkx6-2	NKX6-2
Nek1	NEK1
Atxn3	ATXN3
Cfap46	CFAP46
Art5	ART5
Slco1c1	SLCO1C1
Rpl29	RPL29
Rpl27rt	RPL29
Mtap	MTAP
Art1	ART1
Zfp692	ZNF692
Mafg	MAFG
Chrna10	CHRNA10
Hpf1	HPF1
Ccdc9b	CCDC9B
Gm24522	RNU6-1143P
Gm25784	RNU6-1143P
Tubb3	TUBB3
Pgap2	PGAP2
Pycr1	PYCR1
Dusp7	DUSP7
Poc1a	POC1A
Lctl	LCTL
Kif21a	KIF21A
Alas1	ALAS1
